cur.index,Label,source,trimmed.label,super.code,side,super.index,msa.results
62,Parietal_Inf_R,AAL,Parietal_Inf,11,R,2011,0
63,SupraMarginal_L,AAL,SupraMarginal,11,L,1011,0
64,SupraMarginal_R,AAL,SupraMarginal,11,R,2011,0
65,Angular_L,AAL,Angular,11,L,1011,0
66,Angular_R,AAL,Angular,11,R,2011,0
67,Precuneus_L,AAL,Precuneus,12,L,1012,0
68,Precuneus_R,AAL,Precuneus,12,R,2012,0
69,Paracentral_Lobule_L,AAL,Paracentral_Lobule,13,L,1013,7
70,Paracentral_Lobule_R,AAL,Paracentral_Lobule,13,R,2013,0
71,Caudate_L,AAL,Caudate,14,L,1014,0
72,Caudate_R,AAL,Caudate,14,R,2014,13.2
73,Putamen_L,AAL,Putamen,14,L,1014,0
74,Putamen_R,AAL,Putamen,14,R,2014,13.2
75,Pallidum_L,AAL,Pallidum,14,L,1014,0
76,Pallidum_R,AAL,Pallidum,14,R,2014,13.2
77,Thalamus_L,AAL,Thalamus,15,L,1015,0
78,Thalamus_R,AAL,Thalamus,15,R,2015,0
79,Heschl_L,AAL,Heschl,16,L,1016,0
80,Heschl_R,AAL,Heschl,16,R,2016,0
81,Temporal_Sup_L,AAL,Temporal_Sup,16,L,1016,0
82,Temporal_Sup_R,AAL,Temporal_Sup,16,R,2016,0
83,Temporal_Pole_Sup_L,AAL,Temporal_Pole_Sup,16,L,1016,0
84,Temporal_Pole_Sup_R,AAL,Temporal_Pole_Sup,16,R,2016,0
85,Temporal_Mid_L,AAL,Temporal_Mid,17,L,1017,0
86,Temporal_Mid_R,AAL,Temporal_Mid,17,R,2017,0
87,Temporal_Pole_Mid_L,AAL,Temporal_Pole_Mid,17,L,1017,0
88,Temporal_Pole_Mid_R,AAL,Temporal_Pole_Mid,17,R,2017,0
89,Temporal_Inf_L,AAL,Temporal_Inf,17,L,1017,0
90,Temporal_Inf_R,AAL,Temporal_Inf,17,R,2017,0
91,Cerebelum_Crus1_L,AAL,Cerebelum_Crus1,0,L,1000,0
92,Cerebelum_Crus1_R,AAL,Cerebelum_Crus1,0,R,2000,0
93,Cerebelum_Crus2_L,AAL,Cerebelum_Crus2,0,L,1000,0
94,Cerebelum_Crus2_R,AAL,Cerebelum_Crus2,0,R,2000,0
95,Cerebelum_3_L,AAL,Cerebelum_3,0,L,1000,0
96,Cerebelum_3_R,AAL,Cerebelum_3,0,R,2000,0
97,Cerebelum_4_5_L,AAL,Cerebelum_4_5,0,L,1000,0
98,Cerebelum_4_5_R,AAL,Cerebelum_4_5,0,R,2000,0
99,Cerebelum_6_L,AAL,Cerebelum_6,0,L,1000,0
100,Cerebelum_6_R,AAL,Cerebelum_6,0,R,2000,0
101,Cerebelum_7b_L,AAL,Cerebelum_7b,0,L,1000,0
102,Cerebelum_7b_R,AAL,Cerebelum_7b,0,R,2000,0
103,Cerebelum_8_L,AAL,Cerebelum_8,0,L,1000,0
104,Cerebelum_8_R,AAL,Cerebelum_8,0,R,2000,0
105,Cerebelum_9_L,AAL,Cerebelum_9,0,L,1000,0
106,Cerebelum_9_R,AAL,Cerebelum_9,0,R,2000,0
107,Cerebelum_10_L,AAL,Cerebelum_10,0,L,1000,0
108,Cerebelum_10_R,AAL,Cerebelum_10,0,R,2000,0
109,Vermis_1_2,AAL,Vermis_1_2,0,B,3000,0
110,Vermis_3,AAL,Vermis_3,0,B,3000,0
111,Vermis_4_5,AAL,Vermis_4_5,0,B,3000,0
112,Vermis_6,AAL,Vermis_6,0,B,3000,0
113,Vermis_7,AAL,Vermis_7,0,B,3000,0
114,Vermis_8,AAL,Vermis_8,0,B,3000,0
115,Vermis_9,AAL,Vermis_9,0,B,3000,0
116,Vermis_10,AAL,Vermis_10,0,B,3000,0
9001,MCP,WM,MCP,18,B,3018,0
9002,PCT,WM,PCT,18,B,3018,0
9003,GCC,WM,GCC,0,B,3000,0
9004,BCC,WM,BCC,0,B,3000,0
9005,SCC,WM,SCC,0,B,3000,0
9006,FX,WM,FX,26,B,3026,0
9007,CST_R,WM,CST,18,R,2018,29.1
9008,CST_L,WM,CST,18,L,1018,0
9009,ML_R,WM,ML,18,R,2018,0
9010,ML_L,WM,ML,18,L,1018,0
9011,ICP_R,WM,ICP,18,R,2018,29.1
9012,ICP_L,WM,ICP,18,L,1018,0
9013,SCP_R,WM,SCP,18,R,2018,29.1
9014,SCP_L,WM,SCP,18,L,1018,0
9015,CP_R,WM,CP,18,R,2018,29.1
9016,CP_L,WM,CP,18,L,1018,0
9017,ALIC_R,WM,ALIC,19,R,2019,0
9018,ALIC_L,WM,ALIC,19,L,1019,0
9019,PLIC_R,WM,PLIC,20,R,2020,0
9020,PLIC_L,WM,PLIC,20,L,1020,0
9021,RLIC_R,WM,RLIC,20,R,2020,0
9022,RLIC_L,WM,RLIC,20,L,1020,0
9023,ACR_R,WM,ACR,21,R,2021,0
9024,ACR_L,WM,ACR,21,L,1021,0
9025,SCR_R,WM,SCR,21,R,2021,0
9026,SCR_L,WM,SCR,21,L,1021,0
9027,PCR_R,WM,PCR,21,R,2021,0
9028,PCR_L,WM,PCR,21,L,1021,0
9029,PTR_R,WM,PTR,26,R,2026,0
9030,PTR_L,WM,PTR,26,L,1026,0
9031,SS_R,WM,SS,22,R,2022,0
9032,SS_L,WM,SS,22,L,1022,0
9033,EC_R,WM,EC,23,R,2023,0
9034,EC_L,WM,EC,23,L,1023,0
9035,CGC_R,WM,CGC,26,R,2026,0
9036,CGC_L,WM,CGC,26,L,1026,0
9037,CGH_R,WM,CGH,26,R,2026,0
9038,CGH_L,WM,CGH,26,L,1026,0
9039,FX/ST_R,WM,FX/ST,26,R,2026,0
9040,FX/ST_L,WM,FX/ST,26,L,1026,0
9041,SLF_R,WM,SLF,24,R,2024,0
9042,SLF_L,WM,SLF,24,L,1024,0
9043,SFO_R,WM,SFO,25,R,2025,0
9044,SFO_L,WM,SFO,25,L,1025,0
9045,UNC_R,WM,UNC,25,R,2025,0
9046,UNC_L,WM,UNC,25,L,1025,0
9047,TAP_R,WM,TAP,26,R,2026,0
9048,TAP_L,WM,TAP,26,L,1026,0
